List File,10_copy.lst
Start Time,2016-12-22  16:33:46
Sampling Time,46 sec

Count,7115  of  7115
Particles / ml,394498

Efficiency,7.8%
PPUI,16.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),82.83,19.60,853.34,49.49,59.75
Aspect Ratio,0.77,0.19,1.00,0.14,17.70
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.93,0.13,18.84
Circularity (Hu),0.89,0.21,1.00,0.10,10.91
Compactness,1.99,1.00,12.75,0.93,46.76
Diameter (ABD),9.90,5.00,32.96,2.74,27.69
Diameter (ESD),11.81,5.36,42.11,3.35,28.38
Elongation,3.88,1.00,38.03,3.08,79.40
Geodesic Aspect Ratio,0.39,0.03,1.00,0.24,60.78
Geodesic Length,21.05,5.89,134.51,10.65,50.61
Geodesic Thickness,6.42,1.59,13.53,1.88,29.26
Image Height,34.78,15.00,101.00,6.75,19.41
Image Width,35.95,20.00,100.00,6.78,18.85
Intensity,160.57,89.47,218.58,14.11,8.79
Length,13.70,5.97,61.53,4.02,29.32
Perimeter,54.94,23.55,284.47,20.20,36.77
Roughness,1.30,1.04,2.90,0.23,17.54
Sigma Intensity,39.81,3.03,61.54,9.01,22.64
Sum Intensity,66739.19,15476.00,5.24e+005,32463.60,48.64
Transparency,0.16,0.05,0.60,0.06,39.21
Volume (ABD),634.59,65.29,18751.82,669.91,105.57
Width,9.46,2.21,32.24,2.90,30.65

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,33,0.46,0.04,1830,0.19
6-7um,159,2.23,0.30,8816,1.30
7-8um,414,5.82,1.20,22955,5.21
8-9um,735,10.33,3.07,40753,13
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2328,32.72,10.24,129078,44
10-15um,3623,50.92,45.12,200881,195
15-20um,1021,14.35,31.49,56610,136
20-25um,95,1.34,6.78,5267,29
25-30um,21,0.30,2.91,1164,13
30-35um,6,0.08,1.26,333,5.44
35-40um,3,0.04,1.07,166,4.63
40-45um,2,0.03,0.98,111,4.26
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,965,13.56,5.55,53505,24
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

