List File,12.lst
Start Time,2016-12-22  16:37:18
Sampling Time,46 sec

Count,5371
Particles / ml,277146

Efficiency,8.4%
PPUI,9.93

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),90.82,19.60,1111.21,58.38,64.28
Aspect Ratio,0.76,0.20,1.00,0.14,17.72
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.93,0.13,19.45
Circularity (Hu),0.88,0.24,1.00,0.10,10.77
Compactness,2.03,1.00,16.23,0.98,48.44
Diameter (ABD),10.33,5.00,37.61,2.99,28.97
Diameter (ESD),12.29,5.54,46.44,3.65,29.69
Elongation,4.00,1.00,48.97,3.23,80.78
Geodesic Aspect Ratio,0.38,0.02,1.00,0.23,60.60
Geodesic Length,22.16,6.13,162.56,11.65,52.57
Geodesic Thickness,6.52,1.67,13.93,1.90,29.20
Image Height,35.70,17.00,125.00,7.54,21.13
Image Width,36.80,21.00,88.00,7.16,19.46
Intensity,160.25,84.03,218.77,13.88,8.66
Length,14.26,5.92,61.06,4.34,30.44
Perimeter,57.37,24.53,334.82,22.37,38.99
Roughness,1.31,1.03,3.01,0.23,17.71
Sigma Intensity,40.22,3.90,60.54,8.88,22.09
Sum Intensity,71621.57,18004.00,5.76e+005,37023.33,51.69
Transparency,0.16,0.05,0.54,0.06,38.77
Volume (ABD),738.13,65.29,27865.11,889.59,120.52
Width,9.87,1.93,31.17,3.21,32.47

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,18,0.34,0.03,929,0.10
6-7um,122,2.27,0.26,6295,0.92
7-8um,250,4.65,0.83,12900,2.91
8-9um,431,8.02,2.06,22240,7.23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1486,27.67,7.54,76678,26
10-15um,2806,52.24,40.46,144791,142
15-20um,926,17.24,34.22,47782,120
20-25um,99,1.84,7.87,5108,28
25-30um,28,0.52,4.38,1445,15
30-35um,11,0.20,2.79,568,9.78
35-40um,3,0.06,1.28,155,4.50
40-45um,1,0.02,0.52,52,1.82
45-50um,1,0.02,0.77,52,2.71
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,655,12.20,4.32,33798,15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

