List File,2.lst
Start Time,2016-12-22  16:21:27
Sampling Time,47 sec

Count,5753
Particles / ml,300013

Efficiency,8.2%
PPUI,10.75

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.97,19.60,989.13,68.54,64.08
Aspect Ratio,0.73,0.14,1.00,0.13,18.30
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.93,0.14,20.99
Circularity (Hu),0.87,0.21,1.00,0.10,11.72
Compactness,2.12,1.01,13.94,1.00,47.33
Diameter (ABD),11.23,5.00,35.49,3.18,28.29
Diameter (ESD),13.45,5.52,46.08,3.77,28.04
Elongation,4.33,1.00,41.76,3.29,75.89
Geodesic Aspect Ratio,0.34,0.02,1.00,0.19,56.98
Geodesic Length,24.49,6.05,120.55,11.26,45.98
Geodesic Thickness,6.69,1.20,15.46,2.04,30.48
Image Height,37.94,14.00,113.00,8.12,21.40
Image Width,38.87,18.00,108.00,7.52,19.33
Intensity,161.28,91.51,225.97,13.74,8.52
Length,15.76,5.97,57.73,4.51,28.61
Perimeter,62.37,24.20,259.95,21.77,34.90
Roughness,1.33,1.04,2.45,0.23,17.56
Sigma Intensity,40.23,3.69,59.67,9.02,22.41
Sum Intensity,82386.63,16531.00,4.94e+005,42018.43,51.00
Transparency,0.16,0.05,0.57,0.07,39.82
Volume (ABD),941.05,65.29,23401.47,1146.00,121.78
Width,10.60,1.93,36.59,3.31,31.21

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.10,0.01,313,0.03
6-7um,34,0.59,0.05,1773,0.26
7-8um,98,1.70,0.24,5111,1.16
8-9um,250,4.35,0.89,13037,4.33
0-5um,0,0.00,0.00,0.00,0.00
5-10um,894,15.54,3.63,46621,18
10-15um,3164,55.00,35.17,164999,171
15-20um,1448,25.17,38.92,75512,189
20-25um,155,2.69,9.22,8083,45
25-30um,46,0.80,5.14,2399,25
30-35um,15,0.26,2.85,782,14
35-40um,7,0.12,2.12,365,10
40-45um,5,0.09,2.12,261,10
45-50um,1,0.02,0.55,52,2.67
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,498,8.66,2.42,25970,12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

