List File,16.lst
Start Time,2016-12-22  16:43:41
Sampling Time,46 sec

Count,4654
Particles / ml,241954

Efficiency,8.4%
PPUI,8.68

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.32,19.60,997.12,63.12,68.37
Aspect Ratio,0.76,0.21,1.00,0.14,18.39
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.93,0.13,20.02
Circularity (Hu),0.88,0.19,1.00,0.10,11.09
Compactness,2.01,1.00,8.08,0.88,43.84
Diameter (ABD),10.38,5.00,35.63,3.12,30.08
Diameter (ESD),12.37,5.29,47.61,3.84,30.99
Elongation,3.94,1.00,23.36,2.91,73.91
Geodesic Aspect Ratio,0.37,0.04,1.00,0.22,59.62
Geodesic Length,22.23,5.86,137.18,11.46,51.55
Geodesic Thickness,6.50,1.72,19.65,1.85,28.46
Image Height,36.67,18.00,107.00,7.84,21.38
Image Width,36.29,19.00,100.00,7.60,20.93
Intensity,158.01,94.47,218.62,14.21,8.99
Length,14.43,6.11,55.38,4.62,32.03
Perimeter,57.45,23.42,291.37,22.26,38.75
Roughness,1.30,1.04,2.42,0.22,16.56
Sigma Intensity,40.28,3.51,63.46,8.80,21.84
Sum Intensity,71539.51,16060.00,5.09e+005,39020.11,54.54
Transparency,0.16,0.05,0.59,0.06,38.32
Volume (ABD),765.42,65.29,23685.65,1020.03,133.26
Width,9.87,2.21,39.96,3.25,32.93

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,18,0.39,0.03,936,0.10
6-7um,134,2.88,0.31,6966,1.01
7-8um,212,4.56,0.76,11022,2.44
8-9um,387,8.32,2.06,20120,6.60
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1318,28.32,7.30,68521,23
10-15um,2335,50.17,37.60,121393,121
15-20um,851,18.29,34.24,44242,110
20-25um,96,2.06,8.92,4991,29
25-30um,28,0.60,4.65,1456,15
30-35um,6,0.13,1.65,312,5.30
35-40um,5,0.11,2.06,260,6.62
40-45um,4,0.09,2.54,208,8.14
45-50um,1,0.02,0.92,52,2.94
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,553,11.88,4.07,28750,13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

