List File,15.lst
Start Time,2016-12-22  16:42:27
Sampling Time,38 sec

Count,3856
Particles / ml,243034

Efficiency,8.4%
PPUI,8.70

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.78,19.60,1230.56,62.65,68.27
Aspect Ratio,0.76,0.20,1.00,0.13,17.62
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.93,0.13,19.36
Circularity (Hu),0.88,0.22,1.00,0.10,10.90
Compactness,2.01,1.00,7.89,0.86,42.66
Diameter (ABD),10.35,5.00,39.58,3.10,29.97
Diameter (ESD),12.34,5.50,46.25,3.71,30.11
Elongation,3.96,1.00,22.75,2.84,71.66
Geodesic Aspect Ratio,0.37,0.04,1.00,0.22,60.70
Geodesic Length,22.25,6.05,146.56,11.03,49.57
Geodesic Thickness,6.45,1.68,15.05,1.86,28.79
Image Height,36.76,20.00,112.00,7.69,20.92
Image Width,36.24,20.00,88.00,7.22,19.94
Intensity,159.40,89.29,214.90,14.56,9.13
Length,14.34,5.88,55.38,4.45,31.02
Perimeter,57.40,24.20,307.95,21.49,37.43
Roughness,1.31,1.04,2.69,0.22,16.98
Sigma Intensity,40.07,3.91,59.02,9.03,22.53
Sum Intensity,71795.42,14887.00,7.01e+005,39141.44,54.52
Transparency,0.16,0.04,0.59,0.06,39.10
Volume (ABD),757.75,65.29,32472.61,1045.59,137.99
Width,9.93,2.23,37.35,3.22,32.38

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,25,0.65,0.05,1576,0.16
6-7um,89,2.31,0.27,5609,0.84
7-8um,189,4.90,0.85,11912,2.67
8-9um,323,8.38,2.12,20358,6.66
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1098,28.48,7.51,69204,24
10-15um,1958,50.78,39.70,123408,125
15-20um,696,18.05,35.01,43867,110
20-25um,66,1.71,6.77,4160,21
25-30um,20,0.52,4.26,1261,13
30-35um,4,0.10,1.45,252,4.57
35-40um,3,0.08,1.59,189,5.00
40-45um,2,0.05,1.49,126,4.69
45-50um,2,0.05,2.04,126,6.42
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,459,11.90,4.16,28930,13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

