List File,8.lst
Start Time,2016-12-22  16:31:08
Sampling Time,44 sec

Count,2734
Particles / ml,147157

Efficiency,8.5%
PPUI,5.30

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),103.15,20.22,1015.97,70.94,68.78
Aspect Ratio,0.74,0.18,1.00,0.13,18.06
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.92,0.14,20.75
Circularity (Hu),0.88,0.21,0.99,0.10,11.69
Compactness,2.06,1.00,11.18,1.03,49.94
Diameter (ABD),11.01,5.07,35.97,3.18,28.85
Diameter (ESD),13.14,5.66,45.40,3.87,29.41
Elongation,4.12,1.00,33.08,3.36,81.68
Geodesic Aspect Ratio,0.36,0.03,1.00,0.20,56.64
Geodesic Length,23.55,6.25,128.84,11.83,50.22
Geodesic Thickness,6.77,1.49,14.12,1.99,29.37
Image Height,37.36,18.00,102.00,8.14,21.79
Image Width,38.25,19.00,112.00,7.72,20.17
Intensity,161.87,100.30,216.22,13.40,8.28
Length,15.37,6.35,53.88,4.58,29.80
Perimeter,60.64,24.98,266.90,22.88,37.73
Roughness,1.32,1.04,3.20,0.24,18.06
Sigma Intensity,40.51,3.62,57.89,8.65,21.36
Sum Intensity,80209.48,15861.00,5.40e+005,43233.02,53.90
Transparency,0.16,0.05,0.59,0.06,40.54
Volume (ABD),901.79,68.37,24360.28,1242.17,137.74
Width,10.34,2.21,42.21,3.39,32.80

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.15,0.01,215,0.02
6-7um,16,0.59,0.06,861,0.13
7-8um,49,1.79,0.26,2637,0.59
8-9um,110,4.02,0.86,5921,1.98
0-5um,0,0.00,0.00,0.00,0.00
5-10um,475,17.37,4.36,25567,10
10-15um,1571,57.46,37.03,84559,85
15-20um,580,21.21,33.35,31218,77
20-25um,53,1.94,7.38,2853,17
25-30um,24,0.88,5.69,1292,13
30-35um,17,0.62,6.94,915,16
35-40um,5,0.18,3.16,269,7.24
40-45um,1,0.04,0.88,54,2.01
45-50um,1,0.04,1.15,54,2.64
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,294,10.75,3.15,15824,7.23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

