List File,1.lst
Start Time,2016-12-22  16:15:18
Sampling Time,42 sec

Count,2692
Particles / ml,152777

Efficiency,8.3%
PPUI,5.51

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.63,19.60,1003.12,75.52,68.27
Aspect Ratio,0.73,0.16,1.00,0.13,18.43
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.91,0.13,20.43
Circularity (Hu),0.87,0.22,0.99,0.10,11.27
Compactness,2.07,1.02,9.21,0.91,44.23
Diameter (ABD),11.41,5.00,35.74,3.26,28.61
Diameter (ESD),13.60,5.81,45.66,3.98,29.25
Elongation,4.15,1.00,26.89,3.01,72.37
Geodesic Aspect Ratio,0.34,0.04,1.00,0.19,55.86
Geodesic Length,24.51,6.21,141.39,11.78,48.06
Geodesic Thickness,6.84,1.88,15.00,1.99,29.14
Image Height,37.82,14.00,114.00,8.26,21.85
Image Width,39.48,18.00,113.00,8.12,20.56
Intensity,160.11,95.49,223.91,14.15,8.84
Length,15.94,6.64,57.36,4.80,30.08
Perimeter,62.70,24.85,293.71,22.94,36.58
Roughness,1.32,1.04,2.91,0.23,17.13
Sigma Intensity,40.68,3.56,57.44,8.56,21.05
Sum Intensity,84110.97,16290.00,5.77e+005,44986.57,53.48
Transparency,0.16,0.05,0.55,0.06,39.15
Volume (ABD),998.96,65.29,23899.57,1397.16,139.86
Width,10.73,2.20,36.42,3.43,31.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.07,0.00,114,0.01
6-7um,16,0.59,0.05,908,0.14
7-8um,44,1.63,0.21,2497,0.57
8-9um,110,4.09,0.78,6243,2.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,356,13.22,2.84,20204,7.52
10-15um,1525,56.65,34.05,86547,90
15-20um,700,26.00,37.54,39727,99
20-25um,60,2.23,7.04,3405,19
25-30um,25,0.93,5.69,1419,15
30-35um,5,0.19,1.75,284,4.64
35-40um,5,0.19,2.96,284,7.83
40-45um,8,0.30,6.93,454,18
45-50um,1,0.04,1.07,57,2.83
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,179,6.65,1.76,10159,4.66
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

