List File,14.lst
Start Time,2016-12-22  16:41:12
Sampling Time,27 sec

Count,3122
Particles / ml,269067

Efficiency,8.5%
PPUI,9.64

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),85.36,19.60,903.93,54.02,63.28
Aspect Ratio,0.77,0.21,1.00,0.14,17.60
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.03,0.93,0.13,19.19
Circularity (Hu),0.89,0.23,1.00,0.10,11.25
Compactness,1.97,1.00,8.05,0.87,44.15
Diameter (ABD),10.03,5.00,33.93,2.86,28.52
Diameter (ESD),11.90,5.34,47.37,3.45,28.98
Elongation,3.82,1.00,23.26,2.89,75.65
Geodesic Aspect Ratio,0.39,0.04,1.00,0.23,60.00
Geodesic Length,21.15,5.97,108.74,10.59,50.08
Geodesic Thickness,6.48,1.89,12.93,1.88,29.06
Image Height,35.21,18.00,123.00,6.81,19.36
Image Width,35.83,20.00,94.00,7.15,19.96
Intensity,160.56,92.31,216.71,14.03,8.74
Length,13.78,5.58,59.96,4.06,29.49
Perimeter,55.25,23.88,237.31,20.26,36.67
Roughness,1.29,1.03,2.41,0.21,16.64
Sigma Intensity,40.27,3.88,58.89,9.06,22.50
Sum Intensity,68318.70,15159.00,5.13e+005,34585.76,50.62
Transparency,0.16,0.05,0.54,0.06,41.06
Volume (ABD),670.04,65.29,20443.97,802.75,119.81
Width,9.60,2.21,34.32,3.07,32.01

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,14,0.45,0.04,1207,0.12
6-7um,78,2.50,0.33,6722,1.01
7-8um,179,5.73,1.13,15427,3.45
8-9um,303,9.71,2.77,26114,8.51
0-5um,0,0.00,0.00,0.00,0.00
5-10um,981,31.42,9.42,84547,29
10-15um,1579,50.58,42.50,136085,130
15-20um,499,15.98,33.63,43006,103
20-25um,43,1.38,6.84,3706,21
25-30um,8,0.26,2.32,689,7.10
30-35um,3,0.10,1.35,259,4.15
35-40um,3,0.10,2.17,259,6.66
40-45um,0,0.00,0.00,0.00,0.00
45-50um,1,0.03,1.56,86,4.80
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,395,12.65,5.04,34043,15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

