List File,4.lst
Start Time,2016-12-22  16:24:35
Sampling Time,46 sec

Count,5740
Particles / ml,302604

Efficiency,8.1%
PPUI,10.85

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.35,19.60,1171.99,70.59,66.37
Aspect Ratio,0.74,0.19,1.00,0.13,17.31
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.89,0.13,19.30
Circularity (Hu),0.88,0.19,0.98,0.09,10.72
Compactness,2.05,1.07,11.96,0.98,47.53
Diameter (ABD),11.19,5.00,38.63,3.21,28.68
Diameter (ESD),13.31,5.57,47.89,3.82,28.69
Elongation,4.10,1.00,35.56,3.20,78.03
Geodesic Aspect Ratio,0.35,0.03,1.00,0.20,55.42
Geodesic Length,23.77,6.21,166.30,11.33,47.66
Geodesic Thickness,6.85,1.37,14.94,2.06,30.04
Image Height,37.67,17.00,112.00,8.03,21.32
Image Width,38.54,18.00,107.00,7.72,20.04
Intensity,163.40,94.72,224.21,12.93,7.92
Length,15.57,6.27,60.72,4.50,28.92
Perimeter,61.23,24.85,343.28,21.99,35.91
Roughness,1.32,1.04,2.94,0.24,17.93
Sigma Intensity,40.55,3.53,57.75,8.54,21.06
Sum Intensity,83139.06,15758.00,6.49e+005,43612.28,52.46
Transparency,0.16,0.07,0.56,0.06,38.93
Volume (ABD),937.89,65.29,30182.04,1260.65,134.41
Width,10.51,1.93,40.19,3.38,32.19

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.07,0.00,211,0.02
6-7um,41,0.71,0.07,2161,0.32
7-8um,116,2.02,0.29,6115,1.41
8-9um,276,4.81,0.99,14550,4.78
0-5um,0,0.00,0.00,0.00,0.00
5-10um,961,16.74,3.94,50662,19
10-15um,3151,54.90,35.17,166116,170
15-20um,1376,23.97,37.71,72541,182
20-25um,167,2.91,9.80,8804,47
25-30um,39,0.68,4.36,2056,21
30-35um,12,0.21,2.14,633,10
35-40um,6,0.10,1.62,316,7.83
40-45um,6,0.10,2.64,316,13
45-50um,4,0.07,2.36,211,11
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,519,9.04,2.57,27361,12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

