List File,12.lst
Start Time,2016-12-24  13:23:19
Sampling Time,36 sec

Count,5726
Particles / ml,387602

Efficiency,8.2%
PPUI,13.90

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.03,19.60,745.97,55.83,64.15
Aspect Ratio,0.77,0.20,1.00,0.14,17.68
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.94,0.13,19.43
Circularity (Hu),0.89,0.14,1.00,0.10,11.35
Compactness,1.99,1.00,9.24,0.91,45.60
Diameter (ABD),10.10,5.00,30.82,2.97,29.41
Diameter (ESD),12.03,5.52,42.36,3.62,30.06
Elongation,3.90,1.00,26.99,3.01,77.16
Geodesic Aspect Ratio,0.38,0.04,1.00,0.23,60.06
Geodesic Length,21.55,6.05,130.74,11.07,51.38
Geodesic Thickness,6.44,1.57,14.36,1.84,28.59
Image Height,35.61,19.00,111.00,7.31,20.53
Image Width,36.08,19.00,88.00,7.13,19.76
Intensity,160.09,92.91,218.03,14.03,8.76
Length,13.96,5.88,55.73,4.35,31.18
Perimeter,55.98,24.20,274.91,21.32,38.09
Roughness,1.30,1.04,2.43,0.22,17.21
Sigma Intensity,39.87,2.70,57.54,9.15,22.94
Sum Intensity,69104.45,16920.00,4.68e+005,35966.50,52.05
Transparency,0.16,0.05,0.63,0.06,40.85
Volume (ABD),693.53,65.29,15326.70,791.02,114.06
Width,9.68,2.21,37.67,3.09,31.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,29,0.51,0.04,1963,0.20
6-7um,151,2.64,0.33,10221,1.55
7-8um,324,5.66,1.07,21932,4.96
8-9um,556,9.71,2.65,37637,12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1839,32.12,9.21,124485,43
10-15um,2826,49.35,40.76,191297,189
15-20um,913,15.94,33.42,61802,155
20-25um,89,1.55,7.27,6025,34
25-30um,32,0.56,4.83,2166,22
30-35um,7,0.12,1.86,474,8.60
35-40um,3,0.05,1.18,203,5.48
40-45um,2,0.03,1.08,135,4.98
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,759,13.26,5.02,51378,23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

