List File,10.lst
Start Time,2016-12-24  13:21:07
Sampling Time,36 sec

Count,7295
Particles / ml,508177

Efficiency,8.0%
PPUI,18.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.32,19.60,701.94,52.16,59.74
Aspect Ratio,0.77,0.20,1.00,0.13,17.53
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.92,0.13,19.22
Circularity (Hu),0.89,0.19,0.99,0.10,11.07
Compactness,2.00,1.00,12.07,0.93,46.30
Diameter (ABD),10.16,5.00,29.90,2.83,27.83
Diameter (ESD),12.10,5.50,45.50,3.44,28.41
Elongation,3.92,1.00,35.89,3.07,78.14
Geodesic Aspect Ratio,0.38,0.03,1.00,0.23,60.73
Geodesic Length,21.66,6.13,158.73,10.96,50.61
Geodesic Thickness,6.49,1.69,14.21,1.86,28.67
Image Height,35.18,13.00,115.00,7.02,19.95
Image Width,36.59,19.00,99.00,6.88,18.80
Intensity,160.09,87.97,223.98,14.07,8.79
Length,14.05,5.97,60.09,4.09,29.14
Perimeter,56.30,24.53,326.30,20.89,37.11
Roughness,1.31,1.03,2.83,0.23,17.66
Sigma Intensity,40.03,3.32,58.85,8.95,22.37
Sum Intensity,69483.54,15726.00,4.10e+005,34169.87,49.18
Transparency,0.16,0.04,0.59,0.06,40.15
Volume (ABD),687.22,65.29,13989.95,714.07,103.91
Width,9.70,1.93,38.66,3.01,31.03

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,26,0.36,0.03,1811,0.19
6-7um,155,2.12,0.27,10797,1.61
7-8um,346,4.74,0.92,24103,5.50
8-9um,705,9.66,2.68,49111,16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2152,29.50,8.66,149910,52
10-15um,3812,52.25,44.02,265548,264
15-20um,1152,15.79,32.87,80249,197
20-25um,121,1.66,7.78,8429,47
25-30um,22,0.30,2.53,1533,15
30-35um,7,0.10,1.37,488,8.22
35-40um,5,0.07,1.52,348,9.14
40-45um,1,0.01,0.45,70,2.68
45-50um,1,0.01,0.57,70,3.44
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,910,12.47,4.73,63391,28
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

