List File,6.lst
Start Time,2016-12-24  13:16:19
Sampling Time,35 sec

Count,7402
Particles / ml,554890

Efficiency,7.7%
PPUI,19.95

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),125.25,19.60,1249.53,92.76,74.06
Aspect Ratio,0.73,0.19,1.00,0.13,18.51
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.00,0.92,0.14,21.74
Circularity (Hu),0.87,0.18,0.99,0.10,11.56
Compactness,2.09,1.02,12.64,1.00,47.63
Diameter (ABD),12.05,5.00,39.89,3.78,31.35
Diameter (ESD),14.34,5.75,50.30,4.55,31.69
Elongation,4.23,1.00,37.69,3.25,76.96
Geodesic Aspect Ratio,0.34,0.03,1.00,0.19,55.25
Geodesic Length,25.78,6.33,145.92,12.73,49.37
Geodesic Thickness,7.12,1.44,16.00,2.14,30.04
Image Height,39.09,16.00,124.00,9.72,24.86
Image Width,40.80,18.00,121.00,8.82,21.61
Intensity,161.61,89.09,221.43,14.03,8.68
Length,16.87,6.28,60.95,5.53,32.79
Perimeter,65.80,25.31,300.94,25.19,38.28
Roughness,1.33,1.04,2.62,0.24,18.12
Sigma Intensity,41.09,3.09,62.18,8.61,20.96
Sum Intensity,93558.31,14875.00,6.74e+005,54385.85,58.13
Transparency,0.16,0.05,0.61,0.06,40.36
Volume (ABD),1230.97,65.29,33226.27,1791.36,145.52
Width,11.15,2.21,43.91,3.71,33.32

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.08,0.00,450,0.05
6-7um,34,0.46,0.03,2549,0.38
7-8um,100,1.35,0.15,7496,1.72
8-9um,213,2.88,0.45,15968,5.22
0-5um,0,0.00,0.00,0.00,0.00
5-10um,821,11.09,2.00,61546,23
10-15um,3856,52.09,25.83,289064,302
15-20um,2120,28.64,35.38,158925,414
20-25um,361,4.88,13.03,27062,152
25-30um,125,1.69,8.33,9371,97
30-35um,47,0.63,5.32,3523,62
35-40um,19,0.26,3.54,1424,41
40-45um,9,0.12,2.36,675,28
45-50um,11,0.15,3.67,825,43
50-55um,1,0.01,0.43,75,5.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,464,6.27,1.36,34784,16
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

