List File,15.lst
Start Time,2016-12-24  13:27:52
Sampling Time,37 sec

Count,8177
Particles / ml,555610

Efficiency,7.9%
PPUI,19.94

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.29,19.60,1087.74,58.06,66.51
Aspect Ratio,0.77,0.19,1.00,0.13,17.15
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.00,0.92,0.13,18.85
Circularity (Hu),0.89,0.16,0.99,0.09,10.46
Compactness,1.98,1.00,12.77,0.86,43.67
Diameter (ABD),10.11,5.00,37.21,3.00,29.72
Diameter (ESD),12.01,5.41,45.97,3.62,30.12
Elongation,3.85,1.00,38.08,2.86,74.32
Geodesic Aspect Ratio,0.38,0.03,1.00,0.22,58.98
Geodesic Length,21.48,5.89,123.92,10.80,50.26
Geodesic Thickness,6.44,1.70,15.21,1.85,28.80
Image Height,36.06,16.00,113.00,7.33,20.33
Image Width,35.69,17.00,95.00,7.14,20.00
Intensity,160.28,93.25,218.60,14.20,8.86
Length,13.94,5.92,60.59,4.35,31.21
Perimeter,55.84,23.55,263.59,20.95,37.52
Roughness,1.30,1.04,2.80,0.22,16.87
Sigma Intensity,40.25,3.33,59.94,8.76,21.77
Sum Intensity,69443.86,14873.00,6.26e+005,37420.20,53.89
Transparency,0.16,0.05,0.62,0.06,38.18
Volume (ABD),700.33,65.29,26986.62,891.13,127.24
Width,9.68,1.93,33.95,3.06,31.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,27,0.33,0.03,1835,0.19
6-7um,229,2.80,0.35,15560,2.31
7-8um,492,6.02,1.14,33430,7.56
8-9um,768,9.39,2.55,52184,17
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2598,31.77,9.05,176529,60
10-15um,4068,49.75,40.74,276412,270
15-20um,1292,15.80,33.04,87789,219
20-25um,144,1.76,8.14,9784,54
25-30um,32,0.39,3.28,2174,22
30-35um,13,0.16,2.29,883,15
35-40um,4,0.05,1.13,272,7.52
40-45um,3,0.04,1.10,204,7.28
45-50um,2,0.02,1.01,136,6.72
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1052,12.87,4.88,71481,32
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

