List File,8.lst
Start Time,2016-12-24  13:18:31
Sampling Time,36 sec

Count,3149
Particles / ml,210323

Efficiency,8.4%
PPUI,7.53

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.78,20.01,981.71,88.53,76.46
Aspect Ratio,0.73,0.20,0.99,0.13,18.28
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.91,0.14,22.10
Circularity (Hu),0.87,0.17,0.99,0.10,12.03
Compactness,2.12,1.02,17.12,1.05,49.40
Diameter (ABD),11.59,5.05,35.35,3.61,31.16
Diameter (ESD),13.85,5.78,47.36,4.48,32.35
Elongation,4.32,1.00,51.76,3.41,78.86
Geodesic Aspect Ratio,0.33,0.02,1.00,0.19,56.57
Geodesic Length,25.28,6.25,205.78,13.14,51.98
Geodesic Thickness,6.83,1.49,15.73,2.01,29.48
Image Height,39.20,19.00,125.00,9.80,25.01
Image Width,39.21,18.00,108.00,8.37,21.34
Intensity,160.11,94.74,216.16,13.92,8.69
Length,16.27,6.35,63.41,5.49,33.73
Perimeter,64.22,24.98,419.50,25.90,40.34
Roughness,1.34,1.04,3.28,0.24,17.96
Sigma Intensity,40.60,3.75,60.24,8.49,20.91
Sum Intensity,87168.24,18439.00,5.73e+005,52630.45,60.38
Transparency,0.16,0.05,0.61,0.07,40.49
Volume (ABD),1099.50,67.34,23138.69,1703.13,154.90
Width,10.86,2.13,37.81,3.65,33.64

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.10,0.01,200,0.02
6-7um,17,0.54,0.04,1135,0.18
7-8um,40,1.27,0.14,2672,0.58
8-9um,101,3.21,0.55,6746,2.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,400,12.70,2.50,26716,10
10-15um,1778,56.46,29.99,118753,123
15-20um,795,25.25,32.74,53098,134
20-25um,90,2.86,8.16,6011,33
25-30um,36,1.14,6.39,2404,26
30-35um,13,0.41,3.63,868,15
35-40um,15,0.48,6.64,1002,27
40-45um,10,0.32,6.89,668,28
45-50um,3,0.10,2.61,200,11
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,238,7.56,1.76,15896,7.21
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

