List File,3.lst
Start Time,2016-12-24  13:11:48
Sampling Time,47 sec

Count,10186
Particles / ml,621367

Efficiency,6.9%
PPUI,22.44

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),112.77,19.60,1171.13,77.17,68.43
Aspect Ratio,0.73,0.18,0.99,0.13,18.39
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.93,0.14,21.27
Circularity (Hu),0.87,0.16,1.00,0.10,11.38
Compactness,2.08,1.00,10.46,0.97,46.83
Diameter (ABD),11.49,5.00,38.62,3.40,29.62
Diameter (ESD),13.70,5.34,49.04,4.14,30.24
Elongation,4.19,1.00,30.82,3.19,76.13
Geodesic Aspect Ratio,0.34,0.03,1.00,0.19,56.01
Geodesic Length,24.72,5.82,132.18,12.28,49.70
Geodesic Thickness,6.88,1.52,18.15,2.01,29.24
Image Height,38.48,18.00,117.00,8.91,23.17
Image Width,39.12,19.00,127.00,8.26,21.11
Intensity,161.07,90.70,220.50,14.26,8.85
Length,16.11,5.97,64.85,5.04,31.27
Perimeter,63.20,23.29,282.85,24.00,37.97
Roughness,1.33,1.03,2.79,0.24,18.05
Sigma Intensity,40.87,3.53,63.42,8.58,20.99
Sum Intensity,85840.81,14678.00,6.19e+005,46606.88,54.29
Transparency,0.16,0.05,0.61,0.06,39.66
Volume (ABD),1032.98,65.29,30148.80,1347.66,130.46
Width,10.66,2.21,38.09,3.40,31.84

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,11,0.11,0.01,671,0.06
6-7um,54,0.53,0.04,3294,0.50
7-8um,133,1.31,0.17,8113,1.88
8-9um,389,3.82,0.71,23730,7.91
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1369,13.44,2.89,83512,32
10-15um,5735,56.30,31.98,349847,355
15-20um,2480,24.35,34.64,151285,385
20-25um,364,3.57,11.20,22205,124
25-30um,137,1.34,7.83,8357,87
30-35um,44,0.43,4.02,2684,45
35-40um,24,0.24,3.40,1464,38
40-45um,11,0.11,2.26,671,25
45-50um,6,0.06,1.71,366,19
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,772,7.58,1.94,47094,22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

