List File,7.lst
Start Time,2016-12-24  13:17:24
Sampling Time,37 sec

Count,5275
Particles / ml,344497

Efficiency,8.2%
PPUI,12.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),121.31,19.60,1266.49,89.50,73.77
Aspect Ratio,0.73,0.18,0.99,0.13,17.92
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.93,0.14,20.93
Circularity (Hu),0.88,0.17,1.00,0.10,11.08
Compactness,2.06,1.00,12.45,0.94,45.75
Diameter (ABD),11.86,5.00,40.16,3.70,31.22
Diameter (ESD),14.08,5.42,48.87,4.45,31.60
Elongation,4.14,1.00,37.08,3.09,74.60
Geodesic Aspect Ratio,0.34,0.03,1.00,0.18,54.17
Geodesic Length,25.27,5.97,162.26,12.59,49.82
Geodesic Thickness,7.04,1.42,18.31,2.07,29.47
Image Height,39.72,17.00,123.00,9.30,23.41
Image Width,39.40,20.00,117.00,8.81,22.36
Intensity,160.60,95.12,221.61,15.20,9.47
Length,16.55,5.97,60.20,5.35,32.35
Perimeter,64.62,23.88,339.05,24.99,38.66
Roughness,1.32,1.04,2.69,0.23,17.65
Sigma Intensity,41.53,3.42,60.51,8.42,20.28
Sum Intensity,90863.32,16096.00,6.83e+005,53061.35,58.40
Transparency,0.16,0.05,0.60,0.06,39.07
Volume (ABD),1172.26,65.29,33905.15,1688.09,144.00
Width,11.00,1.93,39.50,3.65,33.20

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.08,0.00,261,0.03
6-7um,47,0.89,0.07,3069,0.46
7-8um,71,1.35,0.15,4637,1.04
8-9um,157,2.98,0.50,10253,3.42
0-5um,0,0.00,0.00,0.00,0.00
5-10um,644,12.21,2.30,42058,16
10-15um,2850,54.03,28.26,186126,194
15-20um,1387,26.29,34.18,90582,235
20-25um,245,4.64,13.08,16000,90
25-30um,63,1.19,6.51,4114,45
30-35um,33,0.63,5.52,2155,38
35-40um,13,0.25,3.31,849,23
40-45um,11,0.21,4.14,718,28
45-50um,4,0.08,2.15,261,15
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,360,6.82,1.57,23511,11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

